 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:3; meanValue is:36; maxValue is:70; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:12; meanValue is:48; maxValue is:84; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:22; meanValue is:49; maxValue is:77; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:26; meanValue is:42; maxValue is:59; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:31; meanValue is:43; maxValue is:56; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:78; meanValue is:78; maxValue is:78; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:15; meanValue is:37; maxValue is:59; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:2; meanValue is:20; maxValue is:38; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:20; meanValue is:57; maxValue is:94; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:2; meanValue is:41; maxValue is:80; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:65; meanValue is:66; maxValue is:68; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:32; meanValue is:52; maxValue is:73; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:15; meanValue is:48; maxValue is:82; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:72; meanValue is:79; maxValue is:87; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:68; meanValue is:76; maxValue is:84; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:21; meanValue is:47; maxValue is:74; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:13; meanValue is:55; maxValue is:98; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:18; meanValue is:37; maxValue is:57; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:25; meanValue is:46; maxValue is:67; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:68; meanValue is:75; maxValue is:82; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:29; meanValue is:38; maxValue is:47; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:12; meanValue is:48; maxValue is:85; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:5; meanValue is:20; maxValue is:35; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:3; meanValue is:21; maxValue is:39; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:3; meanValue is:7; maxValue is:12; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:71; meanValue is:71; maxValue is:72; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:64; meanValue is:70; maxValue is:76; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:55; meanValue is:58; maxValue is:62; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:79; meanValue is:84; maxValue is:90; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:18; meanValue is:36; maxValue is:55; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:57; meanValue is:70; maxValue is:84; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:5; meanValue is:31; maxValue is:58; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:47; meanValue is:73; maxValue is:99; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:33; meanValue is:48; maxValue is:63; 
