 sensorId is:1; errorCode is: 114; errorDetails is: 'RTFM !'; 
 sensorId is:0; errorCode is: 599; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 408; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 2; errorDetails is: 'RTFM !'; 
 sensorId is:0; errorCode is: 86; errorDetails is: 'You break everything'; 
 sensorId is:1; errorCode is: 42; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 189; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 334; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 466; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:0; errorCode is: 529; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 135; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 150; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:1; errorCode is: 350; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:1; errorCode is: 407; errorDetails is: 'RTFM !'; 
 sensorId is:2; errorCode is: 194; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 0; errorDetails is: 'You break everything'; 
 sensorId is:1; errorCode is: 269; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 72; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 369; errorDetails is: 'You break everything'; 
 sensorId is:0; errorCode is: 537; errorDetails is: 'You break everything'; 
 sensorId is:2; errorCode is: 20; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 274; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:0; errorCode is: 21; errorDetails is: 'You break everything'; 
 sensorId is:0; errorCode is: 244; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 429; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 507; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:0; errorCode is: 123; errorDetails is: 'RTFM !'; 
 sensorId is:2; errorCode is: 478; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 427; errorDetails is: 'RTFM !'; 
 sensorId is:0; errorCode is: 124; errorDetails is: 'RTFM !'; 
 sensorId is:2; errorCode is: 27; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 318; errorDetails is: 'RTFM !'; 
 sensorId is:1; errorCode is: 225; errorDetails is: 'RTFM !'; 
 sensorId is:2; errorCode is: 57; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:0; errorCode is: 580; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
 sensorId is:2; errorCode is: 485; errorDetails is: 'You shouldn't practice C, go for python noob.'; 
