 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:91; meanValue is:94; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:16; meanValue is:47; maxValue is:79; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:57; meanValue is:67; maxValue is:77; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:26; meanValue is:61; maxValue is:97; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:30; meanValue is:31; maxValue is:33; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:19; meanValue is:34; maxValue is:49; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:27; meanValue is:44; maxValue is:61; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:34; meanValue is:57; maxValue is:80; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:23; meanValue is:60; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:72; meanValue is:81; maxValue is:91; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:5; meanValue is:24; maxValue is:44; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:3; meanValue is:14; maxValue is:26; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:94; meanValue is:94; maxValue is:94; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:0; meanValue is:31; maxValue is:62; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:22; meanValue is:43; maxValue is:65; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:1; meanValue is:43; maxValue is:86; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:48; meanValue is:72; maxValue is:96; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:18; maxValue is:32; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:28; meanValue is:33; maxValue is:38; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:54; meanValue is:58; maxValue is:63; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:1; meanValue is:40; maxValue is:79; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:31; meanValue is:42; maxValue is:53; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:31; meanValue is:63; maxValue is:95; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:81; meanValue is:82; maxValue is:83; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:5; meanValue is:8; maxValue is:12; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:35; meanValue is:46; maxValue is:57; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:51; meanValue is:55; maxValue is:59; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:66; meanValue is:73; maxValue is:80; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:14; meanValue is:42; maxValue is:70; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:50; meanValue is:61; maxValue is:72; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:9; meanValue is:13; maxValue is:18; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:90; meanValue is:91; maxValue is:92; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:14; meanValue is:25; maxValue is:37; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:9; meanValue is:12; maxValue is:16; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:0; meanValue is:42; maxValue is:84; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:50; meanValue is:62; maxValue is:74; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:29; meanValue is:54; maxValue is:79; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:57; meanValue is:60; maxValue is:63; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:23; meanValue is:24; maxValue is:26; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:29; meanValue is:48; maxValue is:68; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:2; meanValue is:25; maxValue is:48; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:75; meanValue is:87; maxValue is:99; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:61; meanValue is:72; maxValue is:84; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:30; maxValue is:56; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:70; meanValue is:78; maxValue is:86; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:39; meanValue is:67; maxValue is:95; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:46; maxValue is:88; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:23; meanValue is:38; maxValue is:53; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:22; meanValue is:30; maxValue is:38; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:69; meanValue is:72; maxValue is:76; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:42; meanValue is:67; maxValue is:93; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:13; meanValue is:36; maxValue is:59; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:61; meanValue is:70; maxValue is:79; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:8; meanValue is:35; maxValue is:62; 
